Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,total_store_sales,Week_Number,Store_Cluster,Lag_1,Week,Predicted_Sales,Employees_Needed
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,222402808.85,2010-W06,1,1643690.9,6,1647631.5259999987,330.0
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,222402808.85,2010-W07,1,1641957.44,7,1617630.832999999,324.0
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,222402808.85,2010-W08,1,1611968.17,8,1453162.1720000019,291.0
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,222402808.85,2010-W09,1,1409727.59,9,1533032.158700003,307.0
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,222402808.85,2010-W10,1,1554806.68,10,1470203.962100002,294.0
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,222402808.85,2010-W11,1,1439541.59,11,1482131.2408000017,296.0
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,222402808.85,2010-W12,1,1472515.79,12,1442243.5188000007,288.0
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,222402808.85,2010-W13,1,1404429.92,13,1547859.7115000007,310.0
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,222402808.85,2010-W14,1,1594968.28,14,1522318.313900001,304.0
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,222402808.85,2010-W15,1,1545418.53,15,1474680.216500001,295.0
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,222402808.85,2010-W16,1,1466058.28,16,1430994.2223000007,286.0
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,222402808.85,2010-W17,1,1391256.12,17,1458749.5646999998,292.0
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,222402808.85,2010-W18,1,1425100.71,18,1560081.2771000008,312.0
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,222402808.85,2010-W19,1,1603955.12,19,1499584.4737000004,300.0
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,222402808.85,2010-W20,1,1494251.5,20,1440407.7484999984,288.0
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,222402808.85,2010-W21,1,1399662.07,21,1453323.036200001,291.0
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,222402808.85,2010-W22,1,1432069.95,22,1566860.0408999997,313.0
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,222402808.85,2010-W23,1,1615524.71,23,1533846.1525000017,307.0
